national_park,pos,review_year,tokens,counts
Acadia National Park,ADJ,2017,pemetic,1
Acadia National Park,ADJ,2017,perfect,4
Acadia National Park,ADJ,2017,phenomenal,2
Acadia National Park,ADJ,2017,physical,1
Acadia National Park,ADJ,2017,pink,1
Acadia National Park,ADJ,2017,pleasant,2
Acadia National Park,ADJ,2017,pleased,2
Acadia National Park,ADJ,2017,pleasurable,1
Acadia National Park,ADJ,2017,popular,6
Acadia National Park,ADJ,2017,possible,2
Acadia National Park,ADJ,2017,prepared,2
Acadia National Park,ADJ,2017,pretty,1
Acadia National Park,ADJ,2017,previous,1
Acadia National Park,ADJ,2017,priceless,1
Acadia National Park,ADJ,2017,pricey,1
Acadia National Park,ADJ,2017,prime,1
Acadia National Park,ADJ,2017,prior,1
Acadia National Park,ADJ,2017,pristine,1
Acadia National Park,ADJ,2017,private,1
Acadia National Park,ADJ,2017,pure,1
Acadia National Park,ADJ,2017,quiet,1
Acadia National Park,ADJ,2017,rainy,1
Acadia National Park,ADJ,2017,rare,1
Acadia National Park,ADJ,2017,real,2
Acadia National Park,ADJ,2017,reasonable,1
Acadia National Park,ADJ,2017,reddish,1
Acadia National Park,ADJ,2017,relaxed,2
Acadia National Park,ADJ,2017,relaxing,2
Acadia National Park,ADJ,2017,remarkable,1
Acadia National Park,ADJ,2017,respectful,1
Acadia National Park,ADJ,2017,rewarding,1
Acadia National Park,ADJ,2017,rich,2
Acadia National Park,ADJ,2017,right,6
Acadia National Park,ADJ,2017,rocky,9
Acadia National Park,ADJ,2017,romantic,1
Acadia National Park,ADJ,2017,round,1
Acadia National Park,ADJ,2017,rugged,4
Acadia National Park,ADJ,2017,safe,1
Acadia National Park,ADJ,2017,same,3
Acadia National Park,ADJ,2017,sandy,2
Acadia National Park,ADJ,2017,scarce,1
Acadia National Park,ADJ,2017,scary,3
Acadia National Park,ADJ,2017,scenic,14
Acadia National Park,ADJ,2017,seasonal,1
Acadia National Park,ADJ,2017,seasonwell,1
Acadia National Park,ADJ,2017,second,7
Acadia National Park,ADJ,2017,senior,3
Acadia National Park,ADJ,2017,sensible,1
Acadia National Park,ADJ,2017,seperate,1
Acadia National Park,ADJ,2017,seventh,1
Acadia National Park,ADJ,2017,several,11
Acadia National Park,ADJ,2017,sheer,1
Acadia National Park,ADJ,2017,shell,1
Acadia National Park,ADJ,2017,short,10
Acadia National Park,ADJ,2017,single,1
Acadia National Park,ADJ,2017,slim,1
Acadia National Park,ADJ,2017,slippery,1
Acadia National Park,ADJ,2017,slow,1
Acadia National Park,ADJ,2017,small,4
Acadia National Park,ADJ,2017,smaller,3
Acadia National Park,ADJ,2017,socked,1
Acadia National Park,ADJ,2017,special,4
Acadia National Park,ADJ,2017,spectaclar,1
Acadia National Park,ADJ,2017,spectacular,23
Acadia National Park,ADJ,2017,spotted,1
Acadia National Park,ADJ,2017,steep,2
Acadia National Park,ADJ,2017,strenuous,1
Acadia National Park,ADJ,2017,stunning,13
Acadia National Park,ADJ,2017,subject,1
Acadia National Park,ADJ,2017,such,5
Acadia National Park,ADJ,2017,sufficient,1
Acadia National Park,ADJ,2017,sunny,4
Acadia National Park,ADJ,2017,super,2
Acadia National Park,ADJ,2017,sure,12
Acadia National Park,ADJ,2017,surprised,1
Acadia National Park,ADJ,2017,surprising,1
Acadia National Park,ADJ,2017,swampy,1
Acadia National Park,ADJ,2017,tamer,1
Acadia National Park,ADJ,2017,teal,1
Acadia National Park,ADJ,2017,teenage,2
Acadia National Park,ADJ,2017,terrific,1
Acadia National Park,ADJ,2017,third,2
